GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Payment Bridge,com.payment.bridge.repository,PaymentJdbcTemplate,104,6,6,0,11,3,6,1,3,1
Payment Bridge,com.payment.bridge.client,ExternalApiClient.ApiResponse,12,38,0,0,6,16,1,11,1,11
Payment Bridge,com.payment.bridge.client,ExternalApiClient,121,167,14,6,21,36,10,7,1,6
Payment Bridge,com.payment.bridge.amqp,IntegrationPaymentPublisher,142,0,2,0,35,0,8,0,7,0
Payment Bridge,com.payment.bridge.amqp,PaymentPublisher,57,57,0,0,14,16,1,5,1,5
Payment Bridge,com.payment.bridge.config,RabbitMQConfig,2,176,4,6,1,39,4,12,0,11
Payment Bridge,com.payment.bridge.config,MetricsConfig,0,39,0,0,0,13,0,5,0,5
Payment Bridge,com.payment.bridge.config,ResilienceConfig,0,34,0,0,0,13,0,3,0,3
Payment Bridge,com.payment.bridge.config,ExternalApiConfig,0,12,0,0,0,5,0,2,0,2
Payment Bridge,com.payment.bridge.config,AsyncConfig,0,12,0,0,0,3,0,2,0,2
Payment Bridge,com.payment.bridge.config,DatabaseConfig,0,40,0,0,0,11,0,2,0,2
Payment Bridge,com.payment.bridge.controller,StateTransitionController,12,10,0,0,3,4,1,2,1,2
Payment Bridge,com.payment.bridge.controller,StatusController,38,29,1,1,9,9,1,3,0,3
Payment Bridge,com.payment.bridge.controller,PaymentController,31,121,0,0,8,25,0,4,0,4
Payment Bridge,com.payment.bridge.controller,DLQController,79,10,0,0,21,4,4,2,4,2
Payment Bridge,com.payment.bridge.controller,HealthController,14,3,0,0,2,1,2,1,2,1
Payment Bridge,com.payment.bridge.controller,PaymentExceptionHandler,26,29,0,0,5,6,2,3,2,3
Payment Bridge,com.payment.bridge.controller,QueueMetricsController,25,6,0,0,6,3,1,1,1,1
Payment Bridge,com.payment.bridge.metrics,LatencyMetrics,0,45,0,0,0,16,0,5,0,5
Payment Bridge,com.payment.bridge.worker,PaymentWorker,22,269,4,16,4,58,4,11,0,4
Payment Bridge,com.payment.bridge.worker,PaymentWorker.ProcessingResult,0,34,0,0,0,2,0,1,0,1
Payment Bridge,com.payment.bridge.model,PaymentRequest,0,24,0,0,0,10,0,7,0,7
Payment Bridge,com.payment.bridge.model,PaymentStatus,0,27,0,0,0,5,0,1,0,1
Payment Bridge,com.payment.bridge.model,PaymentAudit,6,42,0,0,2,18,2,12,2,12
Payment Bridge,com.payment.bridge.model,DLQActionRequest,11,15,0,0,6,6,3,3,3,3
Payment Bridge,com.payment.bridge.model,DeadLetterQueueEntry,0,55,0,0,0,23,0,16,0,16
Payment Bridge,com.payment.bridge.model,PaymentResponse,0,55,0,0,0,23,0,12,0,12
Payment Bridge,com.payment.bridge.model,Payment,17,95,0,0,7,41,5,24,5,24
Payment Bridge,com.payment.bridge.model,MessageQueueTask,9,29,0,0,3,13,3,8,3,8
Payment Bridge,com.payment.bridge,PaymentBridgeApplication,5,3,0,0,2,1,1,1,1,1
Payment Bridge,com.payment.bridge.exception,PaymentProcessingException,0,9,0,0,0,4,0,2,0,2
Payment Bridge,com.payment.bridge.exception,PaymentApiException,14,13,0,0,5,5,2,2,2,2
Payment Bridge,com.payment.bridge.exception,IdempotencyViolationException,5,4,0,0,2,2,1,1,1,1
Payment Bridge,com.payment.bridge.exception,PaymentException,0,9,0,0,0,4,0,2,0,2
Payment Bridge,com.payment.bridge.service,DLQResolutionService,32,181,6,4,5,37,5,8,1,7
Payment Bridge,com.payment.bridge.service,PaymentService,129,529,11,35,27,128,13,27,2,15
Payment Bridge,com.payment.bridge.service,PaymentRecoveryRunner,0,17,0,0,0,7,0,3,0,3
Payment Bridge,com.payment.bridge.service,IdempotencyService,0,105,4,18,0,23,4,12,0,5
Payment Bridge,com.payment.bridge.service,QueueMetricsService,4,43,2,2,2,13,2,6,0,6
Payment Bridge,com.payment.bridge.service,DLQHandler,13,201,0,2,3,40,0,6,0,5
Payment Bridge,com.payment.bridge.service,ErrorClassifier.ErrorAction,0,15,0,0,0,2,0,1,0,1
Payment Bridge,com.payment.bridge.service,PaymentAuditService,6,44,1,3,1,11,2,3,1,2
Payment Bridge,com.payment.bridge.service,ErrorClassifier,20,109,12,36,9,31,10,22,0,8
Payment Bridge,com.payment.bridge.service,RetryHandler,0,89,0,6,0,21,0,8,0,5
Payment Bridge,com.payment.bridge.service,PaymentService.new TransactionSynchronization() {...},3,24,0,0,3,7,3,5,3,5
